6E+17,BRIZILLA TOY VIDEO http://t.co/IjVfMb4ges,[],"[{""expanded_url"":""http://pinterest.com/pin/192951165261316494/""}]",,,,,,,,
6E+17,Louis Vola Del Quinteto Del Hot Club De Francia - Te Veo En Mis SueÃ±os -   Hernan Oliva (vln); Lois  http://t.co/yp2DHDBwy0,[],"[{""expanded_url"":""http://pinterest.com/pin/200199145911973053/""}]",,,,,,,,
6E+17,RT @AmandaEnsing: While everyone's watching the Super Bowl I'm on Pinterest like _Ÿ’„_Ÿ‘ _Ÿ_€_Ÿ‘›,[],[],,,,,,,,
6E+17,Calvin Klein Mens Size XL Extra Large Black Dragon Short Sleeve Shirt  #CalvinKlein #ButtonFront http://t.co/GmhZWIn6FP,"[{""text"":""CalvinKlein""}",,,,,,,,,
6E+17,icecat77:\n\nSource: http://t.co/qoERqZVNNN http://t.co/HKj6SZ38OD,[],"[{""expanded_url"":""http://pinterest.com""}",,,,,,,,
6E+17,RT @avon_valerie: Rich lather wraps skin in lasting sensual softness. #avon_valerie http://t.co/iShJo1UK87 http://t.co/LylqqVPYCn,"[{""text"":""avon_valerie""}]","[{""expanded_url"":""http://vnesnah.avonrepresentative.com""}",,,,,,,,
6E+17,Super Ball 49th XLIX XL1X You'd have to be all alone,,,,,,,,,,
6E+17,Pinterest Ã© o melhor App para inspirar-se,,,,,,,,,,
6E+17,RT @avon_valerie: Ultralight body moisturizer leaves skin feeling super silky and touchably soft. #avon_valerie vnesna http://t.co/jb47wnbYâ€_,"[{""text"":""avon_valerie""}]","[{""expanded_url"":""http://pinterest.com/pin/355925176776425057/""}]",,,,,,,,
6E+17,Cool Color http://t.co/7S1jgrviuY,[],"[{""expanded_url"":""http://pinterest.com/pin/499899627363693107/""}]",,,,,,,,
6E+17,Ed Gein. Bajo la apariencia apacible y tÃ_mida de se escondÃ_a un cruel psicÃ_pata que practicaba el ca http://t.co/g3QnDKOTSl,[],"[{""expanded_url"":""http://pinterest.com/pin/411657222165144850/""}]",,,,,,,,
6E+17,The Unseen World and Other Essays http://t.co/H4NqKr1QTh,[],"[{""expanded_url"":""http://pinterest.com/pin/416160821792618330/""}]",,,,,,,,
6E+17,#AwesomeMothA Off Road Chevy @habibautos #crazy #cars - http://t.co/AFaZJ3cvYa,"[{""text"":""AwesomeMothA""}",,,,,,,,,
6E+17,Michael kors http://t.co/sXdqvOC9ox,[],"[{""expanded_url"":""http://pinterest.com/pin/222083825350958649/""}]",,,,,,,,
6E+17,$24.95 Missouri Tigers Women's Knit Booties - Black/White http://t.co/EZAY8hE1o1,[],"[{""expanded_url"":""http://pinterest.com/pin/455637687275608159/""}]",,,,,,,,
6E+17,Bridal  Rhinestone and Pearl  headband  Wedding by ADbrdal on Etsy #bride #wedding #weddingaccessory http://t.co/LeAwqAINkz,"[{""text"":""bride""}",,,,,,,,,
6E+17,this space has everything: great mix of colors,,,,,,,,,,
6E+17,Almond Milk,,,,,,,,,,
6E+17,Great books &amp; their covers we recommend for Feb 2015 on Pinterest http://t.co/OavoD2gFGU #Books,"[{""text"":""Books""}]","[{""expanded_url"":""http://buff.ly/1EtzS6h""}]",,,,,,,,
6E+17,Nina Leen. â€œDirecting orchestra,,,,,,,,,,
6E+17,Brief History of Content Marketing ... The Best Content Marketing Infographics on the Planet - #1 http://t.co/mPd3TOtoiz,[],"[{""expanded_url"":""http://pinterest.com/pin/90564642482747743/""}]",,,,,,,,
6E+17,Touareg Tea (Morocco). 'Touareg tea,,,,,,,,,,
6E+17,Super Ball 49th XLIX XL1X You'd have to be all alone,,,,,,,,,,
6E+17,RT @avon_valerie: Lightweight,,,,,,,,,,
6E+17,RT @avon_valerie: avon bath and body skin so soft aqua express  #avon_valerie http://t.co/iShJo1UK87 http://t.co/ryNCc28Al6,"[{""text"":""avon_valerie""}]","[{""expanded_url"":""http://vnesnah.avonrepresentative.com""}",,,,,,,,
6E+17,And I thought that sunrise photography was always going to be cliched! This image is absolutely amaz http://t.co/Ob5UYGp6fh,[],"[{""expanded_url"":""http://pinterest.com/pin/435582595185737023/""}]",,,,,,,,
6E+17,RT @avon_valerie: SKIN SO SOFT AQUA EXPRESS with Watermint Oil for lightweight time-released hydration and a fresh wat http://t.co/83skgz5uâ€_,[],"[{""expanded_url"":""http://pinterest.com/pin/355925176776425134/""}]",,,,,,,,
6E+17,Photo: twenty1-grams: Pin by Distorted Sanity on Skulls/Skeletons | Pinterest su We Heart It -... http://t.co/2z7habGAg7,[],"[{""expanded_url"":""http://tmblr.co/ZM5LZw1cIGX6z""}]",,,,,,,,
6E+17,Do you have a Pinterest account?  We do!  Share yours here!,[],[],,,,,,,,
6E+17,Age Progressed Kimberly's photo is shown age-progressed to 50 years. She was last seen in Venice,,,,,,,,,,
6E+17,The clearest way into the Universe is through a forest wilderness. John Muir http://t.co/hMN22pKKKA,[],"[{""expanded_url"":""http://pinterest.com/pin/440438038533891918/""}]",,,,,,,,
6E+17,Funny Text Message #funnytextmessage - http://t.co/fIktV5lj4Z,"[{""text"":""funnytextmessage""}]","[{""expanded_url"":""http://pinterest.com/pin/396316835931268833/?s=3&m=plume""}]",,,,,,,,
6E+17,MIAMI DOLPHINS FAN GEAR http://t.co/1afb7MewAq,[],"[{""expanded_url"":""http://pinterest.com/pin/552183604287908627/""}]",,,,,,,,
6E+17,RT @guiajatocom: The #SuperBowl just brought back #BreakingBad! Welcome back,,,,,,,,,,
6E+17,DESCE SOBE EMPINA E REBOLA http://t.co/eh0tLhijrN,[],"[{""expanded_url"":""http://pinterest.com/pin/411657222165144857/""}]",,,,,,,,
6E+17,Easy #DIY #Furniture http://t.co/pznIqnu9sg,"[{""text"":""DIY""}",,,,,,,,,
6E+17,Nordljus: Caramel Balsamic Ice-cream  From Gordon Ramsay ' A chef for all seasons' http://t.co/C0FA9VC20B,[],"[{""expanded_url"":""http://pinterest.com/pin/189151253076156640/""}]",,,,,,,,
6E+17,Travel information for the island nation of Vanuatu with budget costs,,,,,,,,,,
6E+17,Cupcakes | cocina y pasteleria | Pinterest http://t.co/6EpTiabnps,[],"[{""expanded_url"":""http://weheartit.com/link/6EXbmg""}]",,,,,,,,
